date,value,source,notes
1997-12,1,fda_companion_diagnostics_list,INFORM HER-2/neu
1998-01,1,fda_companion_diagnostics_list,
1998-02,1,fda_companion_diagnostics_list,
1998-03,1,fda_companion_diagnostics_list,
1998-04,1,fda_companion_diagnostics_list,
1998-05,1,fda_companion_diagnostics_list,
1998-06,1,fda_companion_diagnostics_list,
1998-07,1,fda_companion_diagnostics_list,
1998-08,1,fda_companion_diagnostics_list,
1998-09,2,fda_companion_diagnostics_list,HercepTest
1998-10,2,fda_companion_diagnostics_list,
1998-11,2,fda_companion_diagnostics_list,
1998-12,3,fda_companion_diagnostics_list,PathVysion HER-2 DNA Probe Kit
1999-01,3,fda_companion_diagnostics_list,
1999-02,3,fda_companion_diagnostics_list,
1999-03,3,fda_companion_diagnostics_list,
1999-04,3,fda_companion_diagnostics_list,
1999-05,3,fda_companion_diagnostics_list,
1999-06,3,fda_companion_diagnostics_list,
1999-07,3,fda_companion_diagnostics_list,
1999-08,3,fda_companion_diagnostics_list,
1999-09,3,fda_companion_diagnostics_list,
1999-10,3,fda_companion_diagnostics_list,
1999-11,3,fda_companion_diagnostics_list,
1999-12,3,fda_companion_diagnostics_list,
2000-01,3,fda_companion_diagnostics_list,
2000-02,3,fda_companion_diagnostics_list,
2000-03,3,fda_companion_diagnostics_list,
2000-04,3,fda_companion_diagnostics_list,
2000-05,3,fda_companion_diagnostics_list,
2000-06,3,fda_companion_diagnostics_list,
2000-07,3,fda_companion_diagnostics_list,
2000-08,3,fda_companion_diagnostics_list,
2000-09,3,fda_companion_diagnostics_list,
2000-10,3,fda_companion_diagnostics_list,
2000-11,4,fda_companion_diagnostics_list,PATHWAY anti-Her2/neu
2000-12,4,fda_companion_diagnostics_list,
2001-01,4,fda_companion_diagnostics_list,
2001-02,4,fda_companion_diagnostics_list,
2001-03,4,fda_companion_diagnostics_list,
2001-04,4,fda_companion_diagnostics_list,
2001-05,4,fda_companion_diagnostics_list,
2001-06,4,fda_companion_diagnostics_list,
2001-07,4,fda_companion_diagnostics_list,
2001-08,4,fda_companion_diagnostics_list,
2001-09,4,fda_companion_diagnostics_list,
2001-10,4,fda_companion_diagnostics_list,
2001-11,4,fda_companion_diagnostics_list,
2001-12,4,fda_companion_diagnostics_list,
2002-01,4,fda_companion_diagnostics_list,
2002-02,4,fda_companion_diagnostics_list,
2002-03,4,fda_companion_diagnostics_list,
2002-04,4,fda_companion_diagnostics_list,
2002-05,4,fda_companion_diagnostics_list,
2002-06,4,fda_companion_diagnostics_list,
2002-07,4,fda_companion_diagnostics_list,
2002-08,4,fda_companion_diagnostics_list,
2002-09,4,fda_companion_diagnostics_list,
2002-10,4,fda_companion_diagnostics_list,
2002-11,4,fda_companion_diagnostics_list,
2002-12,4,fda_companion_diagnostics_list,
2003-01,4,fda_companion_diagnostics_list,
2003-02,4,fda_companion_diagnostics_list,
2003-03,4,fda_companion_diagnostics_list,
2003-04,4,fda_companion_diagnostics_list,
2003-05,4,fda_companion_diagnostics_list,
2003-06,4,fda_companion_diagnostics_list,
2003-07,4,fda_companion_diagnostics_list,
2003-08,4,fda_companion_diagnostics_list,
2003-09,4,fda_companion_diagnostics_list,
2003-10,4,fda_companion_diagnostics_list,
2003-11,4,fda_companion_diagnostics_list,
2003-12,4,fda_companion_diagnostics_list,
2004-01,4,fda_companion_diagnostics_list,
2004-02,5,fda_companion_diagnostics_list,Dako EGFR pharmDx Kit
2004-03,5,fda_companion_diagnostics_list,
2004-04,5,fda_companion_diagnostics_list,
2004-05,5,fda_companion_diagnostics_list,
2004-06,5,fda_companion_diagnostics_list,
2004-07,5,fda_companion_diagnostics_list,
2004-08,5,fda_companion_diagnostics_list,
2004-09,5,fda_companion_diagnostics_list,
2004-10,5,fda_companion_diagnostics_list,
2004-11,5,fda_companion_diagnostics_list,
2004-12,6,fda_companion_diagnostics_list,InSite Her-2/neu
2005-01,6,fda_companion_diagnostics_list,
2005-02,6,fda_companion_diagnostics_list,
2005-03,6,fda_companion_diagnostics_list,
2005-04,6,fda_companion_diagnostics_list,
2005-05,7,fda_companion_diagnostics_list,HER2 FISH pharmDx Kit
2005-06,7,fda_companion_diagnostics_list,
2005-07,7,fda_companion_diagnostics_list,
2005-08,7,fda_companion_diagnostics_list,
2005-09,7,fda_companion_diagnostics_list,
2005-10,7,fda_companion_diagnostics_list,
2005-11,7,fda_companion_diagnostics_list,
2005-12,7,fda_companion_diagnostics_list,
2006-01,7,fda_companion_diagnostics_list,
2006-02,7,fda_companion_diagnostics_list,
2006-03,7,fda_companion_diagnostics_list,
2006-04,7,fda_companion_diagnostics_list,
2006-05,7,fda_companion_diagnostics_list,
2006-06,7,fda_companion_diagnostics_list,
2006-07,7,fda_companion_diagnostics_list,
2006-08,7,fda_companion_diagnostics_list,
2006-09,8,fda_companion_diagnostics_list,Dako EGFR pharmDx Kit
2006-10,8,fda_companion_diagnostics_list,
2006-11,8,fda_companion_diagnostics_list,
2006-12,8,fda_companion_diagnostics_list,
2007-01,8,fda_companion_diagnostics_list,
2007-02,8,fda_companion_diagnostics_list,
2007-03,8,fda_companion_diagnostics_list,
2007-04,8,fda_companion_diagnostics_list,
2007-05,8,fda_companion_diagnostics_list,
2007-06,8,fda_companion_diagnostics_list,
2007-07,8,fda_companion_diagnostics_list,
2007-08,8,fda_companion_diagnostics_list,
2007-09,8,fda_companion_diagnostics_list,
2007-10,8,fda_companion_diagnostics_list,
2007-11,8,fda_companion_diagnostics_list,
2007-12,8,fda_companion_diagnostics_list,
2008-01,8,fda_companion_diagnostics_list,
2008-02,8,fda_companion_diagnostics_list,
2008-03,8,fda_companion_diagnostics_list,
2008-04,8,fda_companion_diagnostics_list,
2008-05,8,fda_companion_diagnostics_list,
2008-06,8,fda_companion_diagnostics_list,
