device,indication,drug,approval,approval_date
"INFORM HER-2/neu (Ventana Medical Systems, Inc.)",Breast Cancer - Tissue,Herceptin (trastuzumab) BLA 103792,P940004 (12/30/1997),1997-12-30
HercepTest (Dako Denmark A/S),Breast Cancer - Tissue,Herceptin (trastuzumab) BLA 103792,P980018 (09/25/1998),1998-09-25
PathVysion HER-2 DNA Probe Kit (Abbott Molecular Inc.),Breast Cancer - Tissue,Herceptin (trastuzumab) BLA 103792,P980024 (12/11/1998),1998-12-11
"PATHWAY anti-Her2/neu (4B5) Rabbit Monoclonal Primary Antibody (Ventana Medical Systems, Inc.)",Breast Cancer - Tissue,Herceptin (trastuzumab) BLA 103792,P990081 (11/28/2000),2000-11-28
"Dako EGFR pharmDx Kit (Dako North America, Inc.)",Colorectal Cancer - Tissue,Erbitux (cetuximab) BLA 125084,P030044 (02/12/2004),2004-02-12
"InSite Her-2/neu (CB11) Monoclonal Antibody (Biogenex Laboratories, Inc.)",Breast Cancer - Tissue,Herceptin (trastuzumab) BLA 103792,P040030 (12/22/2004),2004-12-22
HER2 FISH pharmDx Kit (Dako Denmark A/S),Breast Cancer - Tissue,Herceptin (trastuzumab) BLA 103792,P040005 (05/03/2005),2005-05-03
"Dako EGFR pharmDx Kit (Dako North America, Inc.)",Colorectal Cancer - Tissue,Vectibix (panitumumab) BLA 125147,P030044/S002 (09/27/2006),2006-09-27
SPOT-LIGHT HER2 CISH Kit (Life Technologies Corporation),Breast Cancer - Tissue,Herceptin (trastuzumab) BLA 103792,P050040 (07/01/2008),2008-07-01
HER2 FISH pharmDx Kit (Dako Denmark A/S),Gastric and Gastroesophageal Cancer - Tissue,Herceptin (trastuzumab) BLA 103792,P040005/S005 (10/20/2010),2010-10-20
HercepTest (Dako Denmark A/S),Gastric and Gastroesophageal Cancer - Tissue,Herceptin (trastuzumab) BLA 103792,P980018/S010 (10/20/2010),2010-10-20
"cobas 4800 BRAF V600 Mutation Test (Roche Molecular Systems, Inc.)",Melanoma - Tissue,Zelboraf (vemurafenib) NDA 202429,P110020 (08/17/2011),2011-08-17
Vysis ALK Break Apart FISH Probe Kit (Abbott Molecular Inc.),Non-Small Cell Lung Cancer (NSCLC) - Tissue,Xalkori (crizotinib) NDA 202570,P110012 (08/26/2011),2011-08-26
HER2 CISH pharmDx Kit (Dako Denmark A/S),Breast Cancer - Tissue,Herceptin (trastuzumab) BLA 103792,P100024 (11/30/2011),2011-11-30
