date,value,source,notes
2010-04,1,fda_cber_cgt_list,PROVENGE
2010-05,1,fda_cber_cgt_list,
2010-06,1,fda_cber_cgt_list,
2010-07,1,fda_cber_cgt_list,
2010-08,1,fda_cber_cgt_list,
2010-09,1,fda_cber_cgt_list,
2010-10,1,fda_cber_cgt_list,
2010-11,1,fda_cber_cgt_list,
2010-12,1,fda_cber_cgt_list,
2011-01,1,fda_cber_cgt_list,
2011-02,1,fda_cber_cgt_list,
2011-03,1,fda_cber_cgt_list,
2011-04,1,fda_cber_cgt_list,
2011-05,1,fda_cber_cgt_list,
2011-06,2,fda_cber_cgt_list,LAVIV
2011-07,2,fda_cber_cgt_list,
2011-08,2,fda_cber_cgt_list,
2011-09,2,fda_cber_cgt_list,
2011-10,2,fda_cber_cgt_list,
2011-11,2,fda_cber_cgt_list,
2011-12,2,fda_cber_cgt_list,
2012-01,2,fda_cber_cgt_list,
2012-02,2,fda_cber_cgt_list,
2012-03,3,fda_cber_cgt_list,GINTUIT
2012-04,3,fda_cber_cgt_list,
2012-05,3,fda_cber_cgt_list,
2012-06,3,fda_cber_cgt_list,
2012-07,3,fda_cber_cgt_list,
2012-08,3,fda_cber_cgt_list,
2012-09,3,fda_cber_cgt_list,
2012-10,3,fda_cber_cgt_list,
2012-11,3,fda_cber_cgt_list,
2012-12,3,fda_cber_cgt_list,
2013-01,3,fda_cber_cgt_list,
2013-02,3,fda_cber_cgt_list,
2013-03,3,fda_cber_cgt_list,
2013-04,3,fda_cber_cgt_list,
2013-05,3,fda_cber_cgt_list,
2013-06,3,fda_cber_cgt_list,
2013-07,3,fda_cber_cgt_list,
2013-08,3,fda_cber_cgt_list,
2013-09,3,fda_cber_cgt_list,
2013-10,3,fda_cber_cgt_list,
2013-11,3,fda_cber_cgt_list,
2013-12,3,fda_cber_cgt_list,
2014-01,3,fda_cber_cgt_list,
2014-02,3,fda_cber_cgt_list,
2014-03,3,fda_cber_cgt_list,
2014-04,3,fda_cber_cgt_list,
2014-05,3,fda_cber_cgt_list,
2014-06,3,fda_cber_cgt_list,
2014-07,3,fda_cber_cgt_list,
2014-08,3,fda_cber_cgt_list,
2014-09,3,fda_cber_cgt_list,
2014-10,3,fda_cber_cgt_list,
2014-11,3,fda_cber_cgt_list,
2014-12,3,fda_cber_cgt_list,
2015-01,3,fda_cber_cgt_list,
2015-02,3,fda_cber_cgt_list,
2015-03,3,fda_cber_cgt_list,
2015-04,3,fda_cber_cgt_list,
