date,value,source,notes
2000-01,0,pubmed_esearch,
2000-02,0,pubmed_esearch,
2000-03,0,pubmed_esearch,
2000-04,0,pubmed_esearch,
2000-05,0,pubmed_esearch,
2000-06,0,pubmed_esearch,
2000-07,0,pubmed_esearch,
2000-08,0,pubmed_esearch,
2000-09,0,pubmed_esearch,
2000-10,0,pubmed_esearch,
2000-11,0,pubmed_esearch,
2000-12,0,pubmed_esearch,
2001-01,0,pubmed_esearch,
2001-02,0,pubmed_esearch,
2001-03,0,pubmed_esearch,
2001-04,0,pubmed_esearch,
2001-05,0,pubmed_esearch,
2001-06,0,pubmed_esearch,
2001-07,0,pubmed_esearch,
2001-08,0,pubmed_esearch,
2001-09,0,pubmed_esearch,
2001-10,0,pubmed_esearch,
2001-11,0,pubmed_esearch,
2001-12,0,pubmed_esearch,
2002-01,0,pubmed_esearch,
2002-02,0,pubmed_esearch,
2002-03,0,pubmed_esearch,
2002-04,1,pubmed_esearch,
2002-05,0,pubmed_esearch,
2002-06,0,pubmed_esearch,
2002-07,0,pubmed_esearch,
2002-08,0,pubmed_esearch,
2002-09,0,pubmed_esearch,
2002-10,0,pubmed_esearch,
2002-11,0,pubmed_esearch,
2002-12,0,pubmed_esearch,
2003-01,1,pubmed_esearch,
2003-02,0,pubmed_esearch,
2003-03,0,pubmed_esearch,
2003-04,0,pubmed_esearch,
2003-05,0,pubmed_esearch,
2003-06,0,pubmed_esearch,
2003-07,0,pubmed_esearch,
2003-08,0,pubmed_esearch,
2003-09,0,pubmed_esearch,
2003-10,0,pubmed_esearch,
2003-11,0,pubmed_esearch,
2003-12,0,pubmed_esearch,
2004-01,0,pubmed_esearch,
2004-02,0,pubmed_esearch,
2004-03,0,pubmed_esearch,
2004-04,0,pubmed_esearch,
2004-05,0,pubmed_esearch,
2004-06,0,pubmed_esearch,
2004-07,0,pubmed_esearch,
2004-08,0,pubmed_esearch,
2004-09,0,pubmed_esearch,
2004-10,0,pubmed_esearch,
2004-11,0,pubmed_esearch,
2004-12,0,pubmed_esearch,
2005-01,0,pubmed_esearch,
2005-02,0,pubmed_esearch,
2005-03,2,pubmed_esearch,
2005-04,1,pubmed_esearch,
2005-05,0,pubmed_esearch,
2005-06,0,pubmed_esearch,
2005-07,0,pubmed_esearch,
2005-08,1,pubmed_esearch,
2005-09,0,pubmed_esearch,
2005-10,0,pubmed_esearch,
2005-11,1,pubmed_esearch,
2005-12,0,pubmed_esearch,
2006-01,0,pubmed_esearch,
2006-02,0,pubmed_esearch,
2006-03,3,pubmed_esearch,
2006-04,1,pubmed_esearch,
2006-05,0,pubmed_esearch,
2006-06,0,pubmed_esearch,
2006-07,0,pubmed_esearch,
2006-08,0,pubmed_esearch,
2006-09,0,pubmed_esearch,
2006-10,1,pubmed_esearch,
2006-11,0,pubmed_esearch,
2006-12,0,pubmed_esearch,
2007-01,1,pubmed_esearch,
2007-02,0,pubmed_esearch,
2007-03,3,pubmed_esearch,
2007-04,3,pubmed_esearch,
2007-05,1,pubmed_esearch,
2007-06,2,pubmed_esearch,
2007-07,0,pubmed_esearch,
2007-08,0,pubmed_esearch,
2007-09,2,pubmed_esearch,
2007-10,1,pubmed_esearch,
2007-11,0,pubmed_esearch,
2007-12,3,pubmed_esearch,
2008-01,0,pubmed_esearch,
2008-02,1,pubmed_esearch,
2008-03,0,pubmed_esearch,
2008-04,2,pubmed_esearch,
2008-05,3,pubmed_esearch,
2008-06,0,pubmed_esearch,
2008-07,3,pubmed_esearch,
2008-08,2,pubmed_esearch,
2008-09,2,pubmed_esearch,
2008-10,2,pubmed_esearch,
2008-11,0,pubmed_esearch,
2008-12,2,pubmed_esearch,
2009-01,7,pubmed_esearch,
2009-02,4,pubmed_esearch,
2009-03,0,pubmed_esearch,
2009-04,1,pubmed_esearch,
2009-05,2,pubmed_esearch,
2009-06,2,pubmed_esearch,
2009-07,1,pubmed_esearch,
2009-08,4,pubmed_esearch,
2009-09,1,pubmed_esearch,
2009-10,2,pubmed_esearch,
2009-11,4,pubmed_esearch,
2009-12,4,pubmed_esearch,
2010-01,3,pubmed_esearch,
2010-02,6,pubmed_esearch,
2010-03,2,pubmed_esearch,
2010-04,2,pubmed_esearch,
2010-05,1,pubmed_esearch,
2010-06,6,pubmed_esearch,
2010-07,6,pubmed_esearch,
2010-08,2,pubmed_esearch,
2010-09,5,pubmed_esearch,
2010-10,4,pubmed_esearch,
2010-11,5,pubmed_esearch,
2010-12,3,pubmed_esearch,
2011-01,6,pubmed_esearch,
2011-02,7,pubmed_esearch,
2011-03,7,pubmed_esearch,
2011-04,6,pubmed_esearch,
2011-05,11,pubmed_esearch,
2011-06,10,pubmed_esearch,
2011-07,2,pubmed_esearch,
2011-08,6,pubmed_esearch,
2011-09,7,pubmed_esearch,
2011-10,6,pubmed_esearch,
2011-11,7,pubmed_esearch,
2011-12,6,pubmed_esearch,
2012-01,6,pubmed_esearch,
2012-02,5,pubmed_esearch,
2012-03,8,pubmed_esearch,
2012-04,11,pubmed_esearch,
2012-05,12,pubmed_esearch,
2012-06,11,pubmed_esearch,
2012-07,17,pubmed_esearch,
2012-08,16,pubmed_esearch,
2012-09,14,pubmed_esearch,
2012-10,9,pubmed_esearch,
2012-11,8,pubmed_esearch,
2012-12,12,pubmed_esearch,
2013-01,17,pubmed_esearch,
2013-02,16,pubmed_esearch,
2013-03,32,pubmed_esearch,
2013-04,14,pubmed_esearch,
2013-05,17,pubmed_esearch,
2013-06,13,pubmed_esearch,
2013-07,23,pubmed_esearch,
2013-08,30,pubmed_esearch,
2013-09,18,pubmed_esearch,
2013-10,36,pubmed_esearch,
2013-11,48,pubmed_esearch,
2013-12,24,pubmed_esearch,
2014-01,40,pubmed_esearch,
2014-02,32,pubmed_esearch,
2014-03,44,pubmed_esearch,
2014-04,44,pubmed_esearch,
2014-05,39,pubmed_esearch,
2014-06,45,pubmed_esearch,
2014-07,47,pubmed_esearch,
2014-08,60,pubmed_esearch,
2014-09,50,pubmed_esearch,
2014-10,41,pubmed_esearch,
2014-11,79,pubmed_esearch,
2014-12,85,pubmed_esearch,
2015-01,52,pubmed_esearch,
2015-02,59,pubmed_esearch,
2015-03,86,pubmed_esearch,
2015-04,81,pubmed_esearch,
2015-05,98,pubmed_esearch,
2015-06,107,pubmed_esearch,
2015-07,93,pubmed_esearch,
2015-08,84,pubmed_esearch,
2015-09,97,pubmed_esearch,
2015-10,142,pubmed_esearch,
2015-11,126,pubmed_esearch,
2015-12,119,pubmed_esearch,
2016-01,133,pubmed_esearch,
2016-02,159,pubmed_esearch,
2016-03,144,pubmed_esearch,
2016-04,155,pubmed_esearch,
2016-05,189,pubmed_esearch,
2016-06,162,pubmed_esearch,
2016-07,162,pubmed_esearch,
2016-08,156,pubmed_esearch,
2016-09,163,pubmed_esearch,
2016-10,190,pubmed_esearch,
2016-11,218,pubmed_esearch,
2016-12,197,pubmed_esearch,
2017-01,213,pubmed_esearch,
2017-02,212,pubmed_esearch,
2017-03,217,pubmed_esearch,
2017-04,216,pubmed_esearch,
2017-05,218,pubmed_esearch,
2017-06,250,pubmed_esearch,
2017-07,220,pubmed_esearch,
2017-08,235,pubmed_esearch,
2017-09,272,pubmed_esearch,
2017-10,286,pubmed_esearch,
2017-11,266,pubmed_esearch,
2017-12,292,pubmed_esearch,
2018-01,265,pubmed_esearch,
2018-02,285,pubmed_esearch,
2018-03,301,pubmed_esearch,
2018-04,273,pubmed_esearch,
2018-05,334,pubmed_esearch,
2018-06,335,pubmed_esearch,
2018-07,310,pubmed_esearch,
2018-08,313,pubmed_esearch,
2018-09,339,pubmed_esearch,
2018-10,350,pubmed_esearch,
2018-11,329,pubmed_esearch,
2018-12,325,pubmed_esearch,
2019-01,406,pubmed_esearch,
2019-02,350,pubmed_esearch,
2019-03,424,pubmed_esearch,
2019-04,419,pubmed_esearch,
2019-05,409,pubmed_esearch,
2019-06,374,pubmed_esearch,
2019-07,348,pubmed_esearch,
2019-08,393,pubmed_esearch,
2019-09,335,pubmed_esearch,
2019-10,378,pubmed_esearch,
2019-11,427,pubmed_esearch,
2019-12,379,pubmed_esearch,
2020-01,400,pubmed_esearch,
2020-02,432,pubmed_esearch,
2020-03,399,pubmed_esearch,
2020-04,435,pubmed_esearch,
2020-05,437,pubmed_esearch,
2020-06,470,pubmed_esearch,
2020-07,466,pubmed_esearch,
2020-08,456,pubmed_esearch,
2020-09,497,pubmed_esearch,
2020-10,491,pubmed_esearch,
2020-11,444,pubmed_esearch,
2020-12,505,pubmed_esearch,
2021-01,511,pubmed_esearch,
2021-02,497,pubmed_esearch,
2021-03,563,pubmed_esearch,
2021-04,508,pubmed_esearch,
2021-05,500,pubmed_esearch,
2021-06,543,pubmed_esearch,
2021-07,513,pubmed_esearch,
2021-08,498,pubmed_esearch,
2021-09,502,pubmed_esearch,
2021-10,569,pubmed_esearch,
2021-11,495,pubmed_esearch,
2021-12,510,pubmed_esearch,
2022-01,501,pubmed_esearch,
2022-02,538,pubmed_esearch,
2022-03,570,pubmed_esearch,
2022-04,549,pubmed_esearch,
2022-05,546,pubmed_esearch,
2022-06,630,pubmed_esearch,
2022-07,571,pubmed_esearch,
2022-08,574,pubmed_esearch,
2022-09,568,pubmed_esearch,
2022-10,611,pubmed_esearch,
2022-11,604,pubmed_esearch,
2022-12,579,pubmed_esearch,
2023-01,628,pubmed_esearch,
2023-02,624,pubmed_esearch,
2023-03,656,pubmed_esearch,
2023-04,512,pubmed_esearch,
2023-05,575,pubmed_esearch,
2023-06,593,pubmed_esearch,
2023-07,644,pubmed_esearch,
2023-08,505,pubmed_esearch,
2023-09,594,pubmed_esearch,
2023-10,575,pubmed_esearch,
2023-11,584,pubmed_esearch,
2023-12,534,pubmed_esearch,
2024-01,598,pubmed_esearch,
2024-02,628,pubmed_esearch,
2024-03,592,pubmed_esearch,
2024-04,614,pubmed_esearch,
2024-05,624,pubmed_esearch,
2024-06,605,pubmed_esearch,
2024-07,674,pubmed_esearch,
2024-08,569,pubmed_esearch,
2024-09,611,pubmed_esearch,
2024-10,608,pubmed_esearch,
2024-11,634,pubmed_esearch,
2024-12,568,pubmed_esearch,
2025-01,720,pubmed_esearch,
2025-02,633,pubmed_esearch,
2025-03,706,pubmed_esearch,
2025-04,725,pubmed_esearch,
2025-05,717,pubmed_esearch,
2025-06,683,pubmed_esearch,
2025-07,896,pubmed_esearch,
2025-08,808,pubmed_esearch,
2025-09,802,pubmed_esearch,
2025-10,772,pubmed_esearch,
2025-11,931,pubmed_esearch,
2025-12,836,pubmed_esearch,
