date,value,source,notes
2000-01,412,pubmed_esearch,
2000-02,449,pubmed_esearch,
2000-03,533,pubmed_esearch,
2000-04,486,pubmed_esearch,
2000-05,382,pubmed_esearch,
2000-06,483,pubmed_esearch,
2000-07,403,pubmed_esearch,
2000-08,510,pubmed_esearch,
2000-09,462,pubmed_esearch,
2000-10,432,pubmed_esearch,
2000-11,463,pubmed_esearch,
2000-12,393,pubmed_esearch,
2001-01,289,pubmed_esearch,
2001-02,838,pubmed_esearch,
2001-03,628,pubmed_esearch,
2001-04,495,pubmed_esearch,
2001-05,544,pubmed_esearch,
2001-06,476,pubmed_esearch,
2001-07,531,pubmed_esearch,
2001-08,521,pubmed_esearch,
2001-09,452,pubmed_esearch,
2001-10,550,pubmed_esearch,
2001-11,466,pubmed_esearch,
2001-12,395,pubmed_esearch,
2002-01,659,pubmed_esearch,
2002-02,539,pubmed_esearch,
2002-03,592,pubmed_esearch,
2002-04,465,pubmed_esearch,
2002-05,590,pubmed_esearch,
2002-06,609,pubmed_esearch,
2002-07,635,pubmed_esearch,
2002-08,545,pubmed_esearch,
2002-09,478,pubmed_esearch,
2002-10,592,pubmed_esearch,
2002-11,590,pubmed_esearch,
2002-12,563,pubmed_esearch,
2003-01,635,pubmed_esearch,
2003-02,606,pubmed_esearch,
2003-03,610,pubmed_esearch,
2003-04,636,pubmed_esearch,
2003-05,574,pubmed_esearch,
2003-06,622,pubmed_esearch,
2003-07,647,pubmed_esearch,
2003-08,590,pubmed_esearch,
2003-09,605,pubmed_esearch,
2003-10,637,pubmed_esearch,
2003-11,499,pubmed_esearch,
2003-12,723,pubmed_esearch,
2004-01,626,pubmed_esearch,
2004-02,541,pubmed_esearch,
2004-03,739,pubmed_esearch,
2004-04,687,pubmed_esearch,
2004-05,634,pubmed_esearch,
2004-06,667,pubmed_esearch,
2004-07,743,pubmed_esearch,
2004-08,538,pubmed_esearch,
2004-09,787,pubmed_esearch,
2004-10,684,pubmed_esearch,
2004-11,630,pubmed_esearch,
2004-12,743,pubmed_esearch,
2005-01,646,pubmed_esearch,
2005-02,713,pubmed_esearch,
2005-03,693,pubmed_esearch,
2005-04,715,pubmed_esearch,
2005-05,676,pubmed_esearch,
2005-06,825,pubmed_esearch,
2005-07,747,pubmed_esearch,
2005-08,735,pubmed_esearch,
2005-09,755,pubmed_esearch,
2005-10,749,pubmed_esearch,
2005-11,709,pubmed_esearch,
2005-12,810,pubmed_esearch,
2006-01,652,pubmed_esearch,
2006-02,728,pubmed_esearch,
2006-03,795,pubmed_esearch,
2006-04,679,pubmed_esearch,
2006-05,747,pubmed_esearch,
2006-06,777,pubmed_esearch,
2006-07,728,pubmed_esearch,
2006-08,799,pubmed_esearch,
2006-09,690,pubmed_esearch,
2006-10,815,pubmed_esearch,
2006-11,739,pubmed_esearch,
2006-12,776,pubmed_esearch,
2007-01,782,pubmed_esearch,
2007-02,675,pubmed_esearch,
2007-03,798,pubmed_esearch,
2007-04,724,pubmed_esearch,
2007-05,768,pubmed_esearch,
2007-06,810,pubmed_esearch,
2007-07,787,pubmed_esearch,
2007-08,734,pubmed_esearch,
2007-09,765,pubmed_esearch,
2007-10,864,pubmed_esearch,
2007-11,843,pubmed_esearch,
2007-12,765,pubmed_esearch,
2008-01,895,pubmed_esearch,
2008-02,889,pubmed_esearch,
2008-03,808,pubmed_esearch,
2008-04,959,pubmed_esearch,
2008-05,913,pubmed_esearch,
2008-06,742,pubmed_esearch,
2008-07,1027,pubmed_esearch,
2008-08,782,pubmed_esearch,
2008-09,856,pubmed_esearch,
2008-10,981,pubmed_esearch,
2008-11,839,pubmed_esearch,
2008-12,837,pubmed_esearch,
2009-01,940,pubmed_esearch,
2009-02,772,pubmed_esearch,
2009-03,879,pubmed_esearch,
2009-04,803,pubmed_esearch,
2009-05,955,pubmed_esearch,
2009-06,885,pubmed_esearch,
2009-07,925,pubmed_esearch,
2009-08,818,pubmed_esearch,
2009-09,820,pubmed_esearch,
2009-10,925,pubmed_esearch,
2009-11,741,pubmed_esearch,
2009-12,957,pubmed_esearch,
2010-01,932,pubmed_esearch,
2010-02,873,pubmed_esearch,
2010-03,971,pubmed_esearch,
2010-04,873,pubmed_esearch,
2010-05,924,pubmed_esearch,
2010-06,855,pubmed_esearch,
2010-07,1001,pubmed_esearch,
2010-08,874,pubmed_esearch,
2010-09,921,pubmed_esearch,
2010-10,980,pubmed_esearch,
2010-11,931,pubmed_esearch,
2010-12,945,pubmed_esearch,
2011-01,1037,pubmed_esearch,
2011-02,924,pubmed_esearch,
2011-03,1064,pubmed_esearch,
2011-04,894,pubmed_esearch,
2011-05,1013,pubmed_esearch,
2011-06,1048,pubmed_esearch,
2011-07,1005,pubmed_esearch,
2011-08,887,pubmed_esearch,
2011-09,935,pubmed_esearch,
2011-10,977,pubmed_esearch,
2011-11,1098,pubmed_esearch,
2011-12,1052,pubmed_esearch,
2012-01,1123,pubmed_esearch,
2012-02,938,pubmed_esearch,
2012-03,1176,pubmed_esearch,
2012-04,968,pubmed_esearch,
2012-05,1059,pubmed_esearch,
2012-06,1152,pubmed_esearch,
2012-07,1051,pubmed_esearch,
2012-08,1135,pubmed_esearch,
2012-09,1082,pubmed_esearch,
2012-10,1147,pubmed_esearch,
2012-11,1108,pubmed_esearch,
2012-12,957,pubmed_esearch,
2013-01,1330,pubmed_esearch,
2013-02,1054,pubmed_esearch,
2013-03,1095,pubmed_esearch,
2013-04,1157,pubmed_esearch,
2013-05,1203,pubmed_esearch,
2013-06,1115,pubmed_esearch,
2013-07,1200,pubmed_esearch,
2013-08,1173,pubmed_esearch,
2013-09,1025,pubmed_esearch,
2013-10,1244,pubmed_esearch,
