date,value,source,notes
2000-01,0,goat_api_v2,
2000-02,0,goat_api_v2,
2000-03,0,goat_api_v2,
2000-04,0,goat_api_v2,
2000-05,0,goat_api_v2,
2000-06,0,goat_api_v2,
2000-07,0,goat_api_v2,
2000-08,0,goat_api_v2,
2000-09,0,goat_api_v2,
2000-10,0,goat_api_v2,
2000-11,0,goat_api_v2,
2000-12,0,goat_api_v2,
2001-01,0,goat_api_v2,
2001-02,0,goat_api_v2,
2001-03,0,goat_api_v2,
2001-04,1,goat_api_v2,
2001-05,1,goat_api_v2,
2001-06,1,goat_api_v2,
2001-07,1,goat_api_v2,
2001-08,1,goat_api_v2,
2001-09,1,goat_api_v2,
2001-10,1,goat_api_v2,
2001-11,1,goat_api_v2,
2001-12,1,goat_api_v2,
2002-01,1,goat_api_v2,
2002-02,1,goat_api_v2,
2002-03,1,goat_api_v2,
2002-04,1,goat_api_v2,
2002-05,1,goat_api_v2,
2002-06,1,goat_api_v2,
2002-07,1,goat_api_v2,
2002-08,1,goat_api_v2,
2002-09,1,goat_api_v2,
2002-10,1,goat_api_v2,
2002-11,1,goat_api_v2,
2002-12,1,goat_api_v2,
2003-01,1,goat_api_v2,
2003-02,1,goat_api_v2,
2003-03,1,goat_api_v2,
2003-04,1,goat_api_v2,
2003-05,1,goat_api_v2,
2003-06,1,goat_api_v2,
2003-07,1,goat_api_v2,
2003-08,1,goat_api_v2,
2003-09,1,goat_api_v2,
2003-10,1,goat_api_v2,
2003-11,1,goat_api_v2,
2003-12,1,goat_api_v2,
2004-01,1,goat_api_v2,
2004-02,1,goat_api_v2,
2004-03,1,goat_api_v2,
2004-04,1,goat_api_v2,
2004-05,1,goat_api_v2,
2004-06,1,goat_api_v2,
2004-07,4,goat_api_v2,
2004-08,4,goat_api_v2,
2004-09,4,goat_api_v2,
2004-10,4,goat_api_v2,
2004-11,4,goat_api_v2,
2004-12,4,goat_api_v2,
2005-01,4,goat_api_v2,
2005-02,4,goat_api_v2,
2005-03,4,goat_api_v2,
2005-04,4,goat_api_v2,
2005-05,4,goat_api_v2,
2005-06,6,goat_api_v2,
2005-07,7,goat_api_v2,
2005-08,7,goat_api_v2,
2005-09,8,goat_api_v2,
2005-10,8,goat_api_v2,
2005-11,8,goat_api_v2,
2005-12,9,goat_api_v2,
2006-01,9,goat_api_v2,
2006-02,9,goat_api_v2,
2006-03,9,goat_api_v2,
2006-04,10,goat_api_v2,
2006-05,10,goat_api_v2,
2006-06,11,goat_api_v2,
2006-07,11,goat_api_v2,
2006-08,11,goat_api_v2,
2006-09,11,goat_api_v2,
2006-10,12,goat_api_v2,
2006-11,12,goat_api_v2,
2006-12,12,goat_api_v2,
2007-01,12,goat_api_v2,
2007-02,15,goat_api_v2,
2007-03,15,goat_api_v2,
2007-04,15,goat_api_v2,
2007-05,15,goat_api_v2,
2007-06,15,goat_api_v2,
2007-07,15,goat_api_v2,
2007-08,15,goat_api_v2,
2007-09,15,goat_api_v2,
2007-10,15,goat_api_v2,
2007-11,17,goat_api_v2,
2007-12,17,goat_api_v2,
2008-01,17,goat_api_v2,
2008-02,17,goat_api_v2,
