date,value,source,notes
2000-01,0,ncbi_sra_esearch,
2000-02,0,ncbi_sra_esearch,
2000-03,0,ncbi_sra_esearch,
2000-04,0,ncbi_sra_esearch,
2000-05,0,ncbi_sra_esearch,
2000-06,0,ncbi_sra_esearch,
2000-07,0,ncbi_sra_esearch,
2000-08,0,ncbi_sra_esearch,
2000-09,0,ncbi_sra_esearch,
2000-10,0,ncbi_sra_esearch,
2000-11,0,ncbi_sra_esearch,
2000-12,0,ncbi_sra_esearch,
2001-01,0,ncbi_sra_esearch,
2001-02,0,ncbi_sra_esearch,
2001-03,0,ncbi_sra_esearch,
2001-04,0,ncbi_sra_esearch,
2001-05,0,ncbi_sra_esearch,
2001-06,0,ncbi_sra_esearch,
2001-07,0,ncbi_sra_esearch,
2001-08,0,ncbi_sra_esearch,
2001-09,0,ncbi_sra_esearch,
2001-10,0,ncbi_sra_esearch,
2001-11,0,ncbi_sra_esearch,
2001-12,0,ncbi_sra_esearch,
2002-01,0,ncbi_sra_esearch,
2002-02,0,ncbi_sra_esearch,
2002-03,0,ncbi_sra_esearch,
2002-04,0,ncbi_sra_esearch,
2002-05,0,ncbi_sra_esearch,
2002-06,0,ncbi_sra_esearch,
2002-07,0,ncbi_sra_esearch,
2002-08,0,ncbi_sra_esearch,
2002-09,0,ncbi_sra_esearch,
2002-10,0,ncbi_sra_esearch,
2002-11,0,ncbi_sra_esearch,
2002-12,0,ncbi_sra_esearch,
2003-01,0,ncbi_sra_esearch,
2003-02,0,ncbi_sra_esearch,
2003-03,0,ncbi_sra_esearch,
2003-04,0,ncbi_sra_esearch,
2003-05,0,ncbi_sra_esearch,
2003-06,0,ncbi_sra_esearch,
2003-07,0,ncbi_sra_esearch,
2003-08,0,ncbi_sra_esearch,
2003-09,0,ncbi_sra_esearch,
2003-10,0,ncbi_sra_esearch,
2003-11,0,ncbi_sra_esearch,
2003-12,0,ncbi_sra_esearch,
2004-01,0,ncbi_sra_esearch,
2004-02,0,ncbi_sra_esearch,
2004-03,0,ncbi_sra_esearch,
2004-04,0,ncbi_sra_esearch,
2004-05,0,ncbi_sra_esearch,
2004-06,0,ncbi_sra_esearch,
2004-07,0,ncbi_sra_esearch,
2004-08,0,ncbi_sra_esearch,
2004-09,0,ncbi_sra_esearch,
2004-10,0,ncbi_sra_esearch,
2004-11,0,ncbi_sra_esearch,
2004-12,0,ncbi_sra_esearch,
2005-01,0,ncbi_sra_esearch,
2005-02,0,ncbi_sra_esearch,
2005-03,0,ncbi_sra_esearch,
2005-04,0,ncbi_sra_esearch,
2005-05,0,ncbi_sra_esearch,
2005-06,0,ncbi_sra_esearch,
2005-07,0,ncbi_sra_esearch,
2005-08,0,ncbi_sra_esearch,
2005-09,0,ncbi_sra_esearch,
2005-10,0,ncbi_sra_esearch,
2005-11,0,ncbi_sra_esearch,
2005-12,0,ncbi_sra_esearch,
2006-01,0,ncbi_sra_esearch,
2006-02,0,ncbi_sra_esearch,
2006-03,0,ncbi_sra_esearch,
2006-04,0,ncbi_sra_esearch,
2006-05,0,ncbi_sra_esearch,
2006-06,0,ncbi_sra_esearch,
2006-07,0,ncbi_sra_esearch,
2006-08,0,ncbi_sra_esearch,
2006-09,0,ncbi_sra_esearch,
2006-10,0,ncbi_sra_esearch,
2006-11,0,ncbi_sra_esearch,
2006-12,0,ncbi_sra_esearch,
2007-01,0,ncbi_sra_esearch,
2007-02,0,ncbi_sra_esearch,
2007-03,0,ncbi_sra_esearch,
2007-04,0,ncbi_sra_esearch,
2007-05,0,ncbi_sra_esearch,
2007-06,2,ncbi_sra_esearch,
2007-07,0,ncbi_sra_esearch,
2007-08,0,ncbi_sra_esearch,
2007-09,0,ncbi_sra_esearch,
2007-10,0,ncbi_sra_esearch,
2007-11,0,ncbi_sra_esearch,
2007-12,0,ncbi_sra_esearch,
2008-01,0,ncbi_sra_esearch,
2008-02,0,ncbi_sra_esearch,
2008-03,0,ncbi_sra_esearch,
2008-04,259,ncbi_sra_esearch,
2008-05,29,ncbi_sra_esearch,
2008-06,74,ncbi_sra_esearch,
2008-07,86,ncbi_sra_esearch,
2008-08,216,ncbi_sra_esearch,
2008-09,166,ncbi_sra_esearch,
2008-10,368,ncbi_sra_esearch,
2008-11,37,ncbi_sra_esearch,
2008-12,217,ncbi_sra_esearch,
2009-01,288,ncbi_sra_esearch,
2009-02,145,ncbi_sra_esearch,
2009-03,412,ncbi_sra_esearch,
2009-04,417,ncbi_sra_esearch,
2009-05,925,ncbi_sra_esearch,
2009-06,913,ncbi_sra_esearch,
2009-07,409,ncbi_sra_esearch,
2009-08,418,ncbi_sra_esearch,
2009-09,1606,ncbi_sra_esearch,
2009-10,1041,ncbi_sra_esearch,
2009-11,788,ncbi_sra_esearch,
2009-12,788,ncbi_sra_esearch,
2010-01,1835,ncbi_sra_esearch,
2010-02,1072,ncbi_sra_esearch,
2010-03,1558,ncbi_sra_esearch,
2010-04,662,ncbi_sra_esearch,
2010-05,1104,ncbi_sra_esearch,
2010-06,1001,ncbi_sra_esearch,
2010-07,2083,ncbi_sra_esearch,
2010-08,3397,ncbi_sra_esearch,
2010-09,2384,ncbi_sra_esearch,
2010-10,1626,ncbi_sra_esearch,
2010-11,2931,ncbi_sra_esearch,
2010-12,1540,ncbi_sra_esearch,
2011-01,1330,ncbi_sra_esearch,
2011-02,1986,ncbi_sra_esearch,
2011-03,5437,ncbi_sra_esearch,
2011-04,2089,ncbi_sra_esearch,
2011-05,2905,ncbi_sra_esearch,
2011-06,3887,ncbi_sra_esearch,
2011-07,3905,ncbi_sra_esearch,
2011-08,4329,ncbi_sra_esearch,
2011-09,3919,ncbi_sra_esearch,
2011-10,4267,ncbi_sra_esearch,
2011-11,3293,ncbi_sra_esearch,
2011-12,3522,ncbi_sra_esearch,
2012-01,3510,ncbi_sra_esearch,
2012-02,2617,ncbi_sra_esearch,
2012-03,4096,ncbi_sra_esearch,
2012-04,26427,ncbi_sra_esearch,
2012-05,7571,ncbi_sra_esearch,
2012-06,4309,ncbi_sra_esearch,
2012-07,4144,ncbi_sra_esearch,
2012-08,22403,ncbi_sra_esearch,
2012-09,6588,ncbi_sra_esearch,
2012-10,12538,ncbi_sra_esearch,
