date,value,source,notes
2000-01,3,clinicaltrials_gov_v2,
2000-02,3,clinicaltrials_gov_v2,
2000-03,0,clinicaltrials_gov_v2,
2000-04,0,clinicaltrials_gov_v2,
2000-05,0,clinicaltrials_gov_v2,
2000-06,2,clinicaltrials_gov_v2,
2000-07,1,clinicaltrials_gov_v2,
2000-08,0,clinicaltrials_gov_v2,
2000-09,0,clinicaltrials_gov_v2,
2000-10,0,clinicaltrials_gov_v2,
2000-11,0,clinicaltrials_gov_v2,
2000-12,0,clinicaltrials_gov_v2,
2001-01,0,clinicaltrials_gov_v2,
2001-02,1,clinicaltrials_gov_v2,
2001-03,1,clinicaltrials_gov_v2,
2001-04,0,clinicaltrials_gov_v2,
2001-05,0,clinicaltrials_gov_v2,
2001-06,2,clinicaltrials_gov_v2,
2001-07,1,clinicaltrials_gov_v2,
2001-08,3,clinicaltrials_gov_v2,
2001-09,1,clinicaltrials_gov_v2,
2001-10,0,clinicaltrials_gov_v2,
2001-11,0,clinicaltrials_gov_v2,
2001-12,1,clinicaltrials_gov_v2,
2002-01,0,clinicaltrials_gov_v2,
2002-02,1,clinicaltrials_gov_v2,
2002-03,0,clinicaltrials_gov_v2,
2002-04,0,clinicaltrials_gov_v2,
2002-05,1,clinicaltrials_gov_v2,
2002-06,2,clinicaltrials_gov_v2,
2002-07,0,clinicaltrials_gov_v2,
2002-08,1,clinicaltrials_gov_v2,
2002-09,0,clinicaltrials_gov_v2,
2002-10,0,clinicaltrials_gov_v2,
2002-11,2,clinicaltrials_gov_v2,
2002-12,3,clinicaltrials_gov_v2,
2003-01,7,clinicaltrials_gov_v2,
2003-02,0,clinicaltrials_gov_v2,
2003-03,3,clinicaltrials_gov_v2,
2003-04,10,clinicaltrials_gov_v2,
2003-05,2,clinicaltrials_gov_v2,
2003-06,3,clinicaltrials_gov_v2,
2003-07,4,clinicaltrials_gov_v2,
2003-08,1,clinicaltrials_gov_v2,
2003-09,1,clinicaltrials_gov_v2,
2003-10,1,clinicaltrials_gov_v2,
2003-11,3,clinicaltrials_gov_v2,
2003-12,4,clinicaltrials_gov_v2,
2004-01,3,clinicaltrials_gov_v2,
2004-02,0,clinicaltrials_gov_v2,
2004-03,5,clinicaltrials_gov_v2,
2004-04,7,clinicaltrials_gov_v2,
2004-05,3,clinicaltrials_gov_v2,
2004-06,3,clinicaltrials_gov_v2,
2004-07,4,clinicaltrials_gov_v2,
2004-08,4,clinicaltrials_gov_v2,
2004-09,2,clinicaltrials_gov_v2,
2004-10,0,clinicaltrials_gov_v2,
2004-11,0,clinicaltrials_gov_v2,
2004-12,0,clinicaltrials_gov_v2,
2005-01,0,clinicaltrials_gov_v2,
2005-02,0,clinicaltrials_gov_v2,
2005-03,0,clinicaltrials_gov_v2,
2005-04,1,clinicaltrials_gov_v2,
2005-05,2,clinicaltrials_gov_v2,
2005-06,2,clinicaltrials_gov_v2,
2005-07,2,clinicaltrials_gov_v2,
2005-08,5,clinicaltrials_gov_v2,
2005-09,11,clinicaltrials_gov_v2,
2005-10,0,clinicaltrials_gov_v2,
2005-11,3,clinicaltrials_gov_v2,
2005-12,1,clinicaltrials_gov_v2,
2006-01,3,clinicaltrials_gov_v2,
2006-02,2,clinicaltrials_gov_v2,
2006-03,3,clinicaltrials_gov_v2,
2006-04,1,clinicaltrials_gov_v2,
2006-05,2,clinicaltrials_gov_v2,
2006-06,1,clinicaltrials_gov_v2,
2006-07,0,clinicaltrials_gov_v2,
2006-08,4,clinicaltrials_gov_v2,
2006-09,3,clinicaltrials_gov_v2,
2006-10,2,clinicaltrials_gov_v2,
2006-11,2,clinicaltrials_gov_v2,
2006-12,3,clinicaltrials_gov_v2,
2007-01,4,clinicaltrials_gov_v2,
2007-02,2,clinicaltrials_gov_v2,
2007-03,2,clinicaltrials_gov_v2,
2007-04,3,clinicaltrials_gov_v2,
2007-05,2,clinicaltrials_gov_v2,
2007-06,2,clinicaltrials_gov_v2,
2007-07,5,clinicaltrials_gov_v2,
2007-08,5,clinicaltrials_gov_v2,
2007-09,2,clinicaltrials_gov_v2,
2007-10,1,clinicaltrials_gov_v2,
2007-11,1,clinicaltrials_gov_v2,
2007-12,7,clinicaltrials_gov_v2,
2008-01,9,clinicaltrials_gov_v2,
2008-02,4,clinicaltrials_gov_v2,
2008-03,7,clinicaltrials_gov_v2,
2008-04,5,clinicaltrials_gov_v2,
2008-05,4,clinicaltrials_gov_v2,
2008-06,4,clinicaltrials_gov_v2,
2008-07,3,clinicaltrials_gov_v2,
2008-08,2,clinicaltrials_gov_v2,
2008-09,4,clinicaltrials_gov_v2,
2008-10,1,clinicaltrials_gov_v2,
2008-11,5,clinicaltrials_gov_v2,
2008-12,2,clinicaltrials_gov_v2,
2009-01,1,clinicaltrials_gov_v2,
2009-02,3,clinicaltrials_gov_v2,
2009-03,2,clinicaltrials_gov_v2,
2009-04,6,clinicaltrials_gov_v2,
2009-05,9,clinicaltrials_gov_v2,
2009-06,6,clinicaltrials_gov_v2,
2009-07,0,clinicaltrials_gov_v2,
2009-08,5,clinicaltrials_gov_v2,
2009-09,3,clinicaltrials_gov_v2,
2009-10,7,clinicaltrials_gov_v2,
2009-11,0,clinicaltrials_gov_v2,
2009-12,2,clinicaltrials_gov_v2,
2010-01,3,clinicaltrials_gov_v2,
