date,value,source,notes
2000-01,9,clinicaltrials_gov_v2,
2000-02,49,clinicaltrials_gov_v2,
2000-03,4,clinicaltrials_gov_v2,
2000-04,6,clinicaltrials_gov_v2,
2000-05,93,clinicaltrials_gov_v2,
2000-06,15,clinicaltrials_gov_v2,
2000-07,10,clinicaltrials_gov_v2,
2000-08,12,clinicaltrials_gov_v2,
2000-09,8,clinicaltrials_gov_v2,
2000-10,10,clinicaltrials_gov_v2,
2000-11,7,clinicaltrials_gov_v2,
2000-12,7,clinicaltrials_gov_v2,
2001-01,8,clinicaltrials_gov_v2,
2001-02,10,clinicaltrials_gov_v2,
2001-03,13,clinicaltrials_gov_v2,
2001-04,9,clinicaltrials_gov_v2,
2001-05,7,clinicaltrials_gov_v2,
2001-06,8,clinicaltrials_gov_v2,
2001-07,11,clinicaltrials_gov_v2,
2001-08,71,clinicaltrials_gov_v2,
2001-09,7,clinicaltrials_gov_v2,
2001-10,5,clinicaltrials_gov_v2,
2001-11,12,clinicaltrials_gov_v2,
2001-12,6,clinicaltrials_gov_v2,
2002-01,10,clinicaltrials_gov_v2,
2002-02,5,clinicaltrials_gov_v2,
2002-03,8,clinicaltrials_gov_v2,
2002-04,12,clinicaltrials_gov_v2,
2002-05,23,clinicaltrials_gov_v2,
2002-06,9,clinicaltrials_gov_v2,
2002-07,9,clinicaltrials_gov_v2,
2002-08,7,clinicaltrials_gov_v2,
2002-09,6,clinicaltrials_gov_v2,
2002-10,8,clinicaltrials_gov_v2,
2002-11,11,clinicaltrials_gov_v2,
2002-12,47,clinicaltrials_gov_v2,
2003-01,77,clinicaltrials_gov_v2,
2003-02,10,clinicaltrials_gov_v2,
2003-03,18,clinicaltrials_gov_v2,
2003-04,11,clinicaltrials_gov_v2,
2003-05,12,clinicaltrials_gov_v2,
2003-06,11,clinicaltrials_gov_v2,
2003-07,21,clinicaltrials_gov_v2,
2003-08,13,clinicaltrials_gov_v2,
2003-09,17,clinicaltrials_gov_v2,
2003-10,16,clinicaltrials_gov_v2,
2003-11,11,clinicaltrials_gov_v2,
2003-12,13,clinicaltrials_gov_v2,
2004-01,11,clinicaltrials_gov_v2,
2004-02,9,clinicaltrials_gov_v2,
2004-03,15,clinicaltrials_gov_v2,
2004-04,18,clinicaltrials_gov_v2,
2004-05,17,clinicaltrials_gov_v2,
2004-06,12,clinicaltrials_gov_v2,
2004-07,13,clinicaltrials_gov_v2,
2004-08,11,clinicaltrials_gov_v2,
2004-09,19,clinicaltrials_gov_v2,
2004-10,10,clinicaltrials_gov_v2,
2004-11,12,clinicaltrials_gov_v2,
2004-12,11,clinicaltrials_gov_v2,
2005-01,12,clinicaltrials_gov_v2,
2005-02,13,clinicaltrials_gov_v2,
2005-03,21,clinicaltrials_gov_v2,
2005-04,9,clinicaltrials_gov_v2,
2005-05,13,clinicaltrials_gov_v2,
2005-06,18,clinicaltrials_gov_v2,
2005-07,31,clinicaltrials_gov_v2,
2005-08,56,clinicaltrials_gov_v2,
2005-09,373,clinicaltrials_gov_v2,
2005-10,67,clinicaltrials_gov_v2,
2005-11,58,clinicaltrials_gov_v2,
2005-12,51,clinicaltrials_gov_v2,
2006-01,65,clinicaltrials_gov_v2,
2006-02,54,clinicaltrials_gov_v2,
2006-03,51,clinicaltrials_gov_v2,
2006-04,49,clinicaltrials_gov_v2,
2006-05,50,clinicaltrials_gov_v2,
2006-06,175,clinicaltrials_gov_v2,
2006-07,64,clinicaltrials_gov_v2,
2006-08,63,clinicaltrials_gov_v2,
2006-09,56,clinicaltrials_gov_v2,
2006-10,45,clinicaltrials_gov_v2,
2006-11,35,clinicaltrials_gov_v2,
2006-12,58,clinicaltrials_gov_v2,
2007-01,62,clinicaltrials_gov_v2,
2007-02,47,clinicaltrials_gov_v2,
2007-03,68,clinicaltrials_gov_v2,
2007-04,63,clinicaltrials_gov_v2,
2007-05,50,clinicaltrials_gov_v2,
2007-06,70,clinicaltrials_gov_v2,
2007-07,83,clinicaltrials_gov_v2,
2007-08,81,clinicaltrials_gov_v2,
2007-09,65,clinicaltrials_gov_v2,
2007-10,65,clinicaltrials_gov_v2,
2007-11,61,clinicaltrials_gov_v2,
2007-12,88,clinicaltrials_gov_v2,
2008-01,106,clinicaltrials_gov_v2,
2008-02,92,clinicaltrials_gov_v2,
2008-03,100,clinicaltrials_gov_v2,
2008-04,107,clinicaltrials_gov_v2,
2008-05,95,clinicaltrials_gov_v2,
2008-06,89,clinicaltrials_gov_v2,
2008-07,89,clinicaltrials_gov_v2,
2008-08,72,clinicaltrials_gov_v2,
2008-09,85,clinicaltrials_gov_v2,
2008-10,87,clinicaltrials_gov_v2,
2008-11,74,clinicaltrials_gov_v2,
2008-12,78,clinicaltrials_gov_v2,
2009-01,85,clinicaltrials_gov_v2,
2009-02,116,clinicaltrials_gov_v2,
2009-03,79,clinicaltrials_gov_v2,
2009-04,87,clinicaltrials_gov_v2,
2009-05,198,clinicaltrials_gov_v2,
2009-06,103,clinicaltrials_gov_v2,
2009-07,85,clinicaltrials_gov_v2,
2009-08,89,clinicaltrials_gov_v2,
2009-09,90,clinicaltrials_gov_v2,
2009-10,83,clinicaltrials_gov_v2,
2009-11,67,clinicaltrials_gov_v2,
2009-12,84,clinicaltrials_gov_v2,
2010-01,74,clinicaltrials_gov_v2,
2010-02,79,clinicaltrials_gov_v2,
2010-03,82,clinicaltrials_gov_v2,
2010-04,87,clinicaltrials_gov_v2,
2010-05,103,clinicaltrials_gov_v2,
2010-06,107,clinicaltrials_gov_v2,
2010-07,76,clinicaltrials_gov_v2,
2010-08,102,clinicaltrials_gov_v2,
2010-09,90,clinicaltrials_gov_v2,
2010-10,81,clinicaltrials_gov_v2,
2010-11,90,clinicaltrials_gov_v2,
2010-12,84,clinicaltrials_gov_v2,
2011-01,78,clinicaltrials_gov_v2,
2011-02,83,clinicaltrials_gov_v2,
2011-03,95,clinicaltrials_gov_v2,
2011-04,92,clinicaltrials_gov_v2,
2011-05,88,clinicaltrials_gov_v2,
2011-06,117,clinicaltrials_gov_v2,
2011-07,91,clinicaltrials_gov_v2,
2011-08,119,clinicaltrials_gov_v2,
2011-09,90,clinicaltrials_gov_v2,
2011-10,85,clinicaltrials_gov_v2,
2011-11,88,clinicaltrials_gov_v2,
2011-12,88,clinicaltrials_gov_v2,
2012-01,111,clinicaltrials_gov_v2,
2012-02,79,clinicaltrials_gov_v2,
2012-03,145,clinicaltrials_gov_v2,
2012-04,105,clinicaltrials_gov_v2,
2012-05,105,clinicaltrials_gov_v2,
2012-06,126,clinicaltrials_gov_v2,
2012-07,100,clinicaltrials_gov_v2,
2012-08,84,clinicaltrials_gov_v2,
2012-09,80,clinicaltrials_gov_v2,
2012-10,110,clinicaltrials_gov_v2,
